question,probability,resolved_yes,volume,pnl,prob_bucket
Counter-Strike: Acend vs Bebop (BO3) - CCT Europe Series #14,1.0,True,10000,0.0,80-100%
Will Trump say “Sleazebag” by February 28?,1.0,True,10000,0.0,80-100%
"Will Trump say ""Two Weeks"" first during Saudi PM events on N",1.0,True,10000,0.0,80-100%
Will Manchester United win on 2025-05-25?,1.0,True,99983,0.0,80-100%
"XRP Up or Down - January 31, 2:45AM-3:00AM ET",1.0,True,9998,0.0,80-100%
Euro Basket: Germany vs Great Britain,1.0,True,9997,0.0,80-100%
Dvalishvili vs. Sandhagen,1.0,True,999732,0.0,80-100%
"XRP Up or Down - February 13, 3:00AM-3:15AM ET",1.0,True,9997,0.0,80-100%
Braves vs. Brewers,1.0,True,99964,0.0,80-100%
"Ethereum Up or Down - July 6, 4PM ET",1.0,True,9996,0.0,80-100%
Will Zoe Saldaña win Best Supporting Actress at the 2025 SAG,1.0,True,9996,0.0,80-100%
Spread: Knicks (-4.5),0.996,True,99957,0.004,80-100%
Will Crystal Palace vs. Newcastle end in a draw?,1.0,True,9996,0.0,80-100%
Michigan State vs. Iowa,0.945,True,99943,0.055,80-100%
"Bitcoin Up or Down - February 23, 6:45AM-7:00AM ET",0.995,True,99942,0.005,80-100%
Will Palmeiras beat Al Ahly?,1.0,True,99942,0.0,80-100%
"Bitcoin Up or Down - February 12, 4:00PM-8:00PM ET",1.0,True,99939,0.0,80-100%
Dota 2: Perú Rejects vs Team Sangre - Game 2 Winner,1.0,True,9994,0.0,80-100%
Spread: Villanova Wildcats (-2.5),1.0,True,99933,0.0,80-100%
Will Meta (META) finish week of November 17 above $550?,1.0,True,9993,0.0,80-100%
